Company Name,tradingsymbol,exchange_token
Nippon Life India Asset Management Limited,NAM-INDIA,357
NATCO Pharma Limited,NATCOPHARM,3918
National Aluminium Company Limited,NATIONALUM,6364
Info Edge (India) Limited,NAUKRI,13751
Nava Limited,NAVA,4014
Navin Fluorine International Limited,NAVINFLUOR,14672
NDR Auto Components Limited,NDRAUTO,22255
Nelco Limited,NELCO,2388
Neogen Chemicals Limited,NEOGEN,9917
Nesco Limited,NESCO,15409
Nestlé India Limited,NESTLEIND,17963
Netweb Technologies India Limited,NETWEB,17433
Neuland Laboratories Limited,NEULANDLAB,2406
Newgen Software Technologies Limited,NEWGEN,1164
NGL Fine-Chem Limited,NGLFINE,10277
Narayana Hrudayalaya Limited,NH,11840
Nibe Limited,NIBE,29487
Nilkamal Limited,NILKAMAL,2421
NINtec Systems Limited,NINSYS,14194
Nitin Spinners Limited,NITINSPIN,13175
Novartis India Limited,NOVARTIND,9007
Network People Services Technologies Limited,NPST,756324
Nalwa Sons Investments Limited,NSIL,11239
Nucleus Software Exports Limited,NUCLEUS,10791
Nuvama Wealth Management Limited,NUVAMA,18721
Oberoi Realty Limited,OBEROIRLTY,20242
Oracle Financial Services Software Limited,OFSS,10738
Oil India Limited,OIL,17438
Olectra Greentech Limited,OLECTRA,10637
OneSource Specialty Pharma Limited,ONESOURCE,29224
Optiemus Infracom Limited,OPTIEMUS,21469
The Orissa Minerals Development Company Limited,ORISSAMINE,19931
Orkla India Limited,ORKLAINDIA,759569
Oswal Pumps Limited,OSWALPUMPS,756802
Page Industries Limited,PAGEIND,14413
Paras Defence and Space Technologies Limited,PARAS,5911
Patanjali Foods Limited,PATANJALI,17029
Paushak Limited,PAUSHAKLTD,759969
One97 Communications Limited,PAYTM,6705
Persistent Systems Limited,PERSISTENT,18365
Power Finance Corporation Limited,PFC,14299
Pfizer Limited,PFIZER,2643
PG Electroplast Limited,PGEL,25358
Procter & Gamble Hygiene and Health Care Limited,PGHH,2535
Procter & Gamble Health Limited,PGHL,940
Pearl Global Industries Limited,PGIL,14260
The Phoenix Mills Limited,PHOENIXLTD,14552
Piccadily Agro Industries Limited,PICCADIL,757754
Pidilite Industries Limited,PIDILITIND,2664
PI Industries Limited,PIIND,24184
Pilani Investment and Industries Corporation Limited,PILANIINVS,11445
Piramal Finance Limited,PIRAMALFIN,759551
Pitti Engineering Limited,PITTIENG,14134
PIX Transmissions Limited,PIXTRANS,9087
PNB Housing Finance Limited,PNBHOUSING,18908
Pondy Oxides And Chemicals Limited,POCL,14385
Pokarna Limited,POKARNA,17651
PB Fintech Limited,POLICYBZR,6656
Polycab India Limited,POLYCAB,9590
Poly Medicure Limited,POLYMED,25718
Polyplex Corporation Limited,POLYPLEX,2687
Poonawalla Fincorp Limited,POONAWALLA,11403
Hitachi Energy India Limited,POWERINDIA,18457
Power Mech Projects Limited,POWERMECH,10473
Prestige Estates Projects Limited,PRESTIGE,20302
Pricol Limited,PRICOLLTD,19631
Privi Speciality Chemicals Limited,PRIVISCL,8825
Protean eGov Technologies Limited,PROTEAN,29472
Prudent Corporate Advisory Services Limited,PRUDENT,9553
PSP Projects Limited,PSPPROJECT,20877
PTC Industries Limited,PTCIL,16682
Punjab Chemicals and Crop Protection Limited,PUNJABCHEM,4344
PVR INOX Limited,PVRINOX,13147
RACL Geartech Limited,RACLGEAR,27171
Radico Khaitan Limited,RADICO,10990
Rainbow Children's Medicare Limited,RAINBOW,9408
The Ramco Cements Limited,RAMCOCEM,2043
Ramco Systems Limited,RAMCOSYS,7851
Ramky Infrastructure Limited,RAMKY,20134
Rane Holdings Limited,RANEHOLDIN,2844
RateGain Travel Technologies Limited,RATEGAIN,7177
Ratnamani Metals & Tubes Limited,RATNAMANI,13451
Raymond Limited,RAYMOND,2859
Raymond Lifestyle Limited,RAYMONDLSL,25073
Raymond Realty Limited,RAYMONDREL,758551
Reliance Industries Limited,RELIANCE,2885
Repco Home Finance Limited,REPCOHOME,29598
RHI Magnesita India Limited,RHIM,31163
Reliance Industrial Infrastructure Limited,RIIL,2912
Rishabh Instruments Limited,RISHABH,18417
Ramkrishna Forgings Limited,RKFORGE,11411
RMC Switchgears Limited,RMC,762347
Rane (Madras) Limited,RML,11975
Rossari Biotech Limited,ROSSARI,19410
Rossell Techsys Limited,ROSSTECH,27353
Route Mobile Limited,ROUTE,128
Raghav Productivity Enhancers Limited,RPEL,24735
RPG Life Sciences Limited,RPGLIFE,16725
RPSG Ventures Limited,RPSGVENT,8119
Rashi Peripherals Limited,RPTECH,22670
R R Kabel Limited,RRKABEL,18566
Rubicon Research Limited,RUBICON,759316
Keystone Realtors Limited,RUSTOMJEE,12219
Revathi Equipment India Limited,RVTH,25157
Saatvik Green Energy Limited,SAATVIKGL,759057
Sai Life Sciences Limited,SAILIFE,27839
Sai Parenteral's Limited,SAIPARENT,761675
Sanathan Textiles Limited,SANATHAN,28805
The Sandesh Limited,SANDESH,2988
Sandhar Technologies Limited,SANDHAR,2397
Sangam (India) Limited,SANGAMIND,4184
Sanofi India Limited,SANOFI,1442
Sanofi Consumer Healthcare India Limited,SANOFICONR,25222
Sansera Engineering Limited,SANSERA,5751
Sarda Energy & Minerals Limited,SARDAEN,17758
Sasken Technologies Limited,SASKEN,11983
SBI Cards and Payment Services Limited,SBICARD,17971
SBI Life Insurance Company Limited,SBILIFE,21808
State Bank of India,SBIN,3045
Schaeffler India Limited,SCHAEFFLER,1011
Schneider Electric Infrastructure Limited,SCHNEIDER,31238
Seamec Limited,SEAMECLTD,2616
Senores Pharmaceuticals Limited,SENORES,28888
Sheela Foam Limited,SFL,19184
SG Finserve Limited,SGFIN,758853
Synergy Green Industries Limited,SGIL,5114
SG Mart Limited,SGMART,758889
Shaily Engineering Plastics Limited,SHAILY,8727
Shakti Pumps (India) Limited,SHAKTIPUMP,25574
Shanthi Gears Limited,SHANTIGEAR,3078
Sharda Cropchem Limited,SHARDACROP,4992
Shilchar Technologies Limited,SHILCTECH,759847
Shilpa Medicare Limited,SHILPAMED,17752
Shree Cement Limited,SHREECEM,3103
SPR Auto Technologies Limited,SHRIPISTON,17186
Shriram Finance Limited,SHRIRAMFIN,4306
Shyam Metalics and Energy Limited,SHYAMMETL,4693
Siemens Limited,SIEMENS,3150
Signatureglobal (India) Limited,SIGNATURE,18743
SIL Investments Limited,SILINV,4105
Sirca Paints India Limited,SIRCA,11050
Siyaram Silk Mills Limited,SIYSIL,14096
S.J.S. Enterprises Limited,SJS,6643
SKF India Limited,SKFINDIA,3186
SKF India (Industrial) Limited,SKFINDUS,760101
Skipper Limited,SKIPPER,9428
Sky Gold and Diamonds Limited,SKYGOLD,13631
Smartworks Coworking Spaces Limited,SMARTWORKS,757965
SML Mahindra Limited,SMLMAH,3387
SMS Pharmaceuticals Limited,SMSPHARMA,14329
Sobha Limited,SOBHA,13826
Solara Active Pharma Sciences Limited,SOLARA,3672
Solar Industries India Limited,SOLARINDS,13332
Somany Ceramics Limited,SOMANYCERA,3880
Sona BLW Precision Forgings Limited,SONACOMS,4684
S.P. Apparels Limited,SPAL,18252
Spectrum Electrical Industries Limited,SPECTRUM,30455
Supreme Petrochem Limited,SPLPETRO,9617
SRF Limited,SRF,3273
Sree Rayalaseema Hi-Strength Hypo Limited,SRHHYPOLTD,14582
SRM Contractors Limited,SRM,23402
Strides Pharma Science Limited,STAR,7374
Star Health and Allied Insurance Company Limited,STARHEALTH,7083
STEL Holdings Limited,STEL,21484
Stove Kraft Limited,STOVEKRAFT,2107
Stylam Industries Limited,STYLAMIND,5186
Styrenix Performance Materials Limited,STYRENIX,19
Subros Limited,SUBROS,3324
Sudarshan Chemical Industries Limited,SUDARSCHEM,3327
Sudeep Pharma Limited,SUDEEPPHRM,760039
Sumitomo Chemical India Limited,SUMICHEM,17105
Summit Securities Limited,SUMMITSEC,21275
Sundaram-Clayton Limited,SUNCLAY,20956
Sundaram Finance Limited,SUNDARMFIN,3339
Sundaram Brake Linings Limited,SUNDRMBRAK,4179
Sundram Fasteners Limited,SUNDRMFAST,3345
Sundrop Brands Limited,SUNDROP,1663
Sun Pharmaceutical Industries Limited,SUNPHARMA,3351
Sun TV Network Limited,SUNTV,13404
Suprajit Engineering Limited,SUPRAJIT,11689
The Supreme Industries Limited,SUPREMEIND,3363
Supriya Lifescience Limited,SUPRIYA,7390
Suyog Telematics Limited,SUYOG,24851
Swan Defence and Heavy Industries Limited,SWANDEF,29164
Swaraj Engines Limited,SWARAJENG,3384
Swelect Energy Systems Limited,SWELECTES,11909
Symphony Limited,SYMPHONY,24190
Syngene International Limited,SYNGENE,10243
Syrma SGS Technology Limited,SYRMA,10793
Tanla Platforms Limited,TANLA,13976
Tata Chemicals Limited,TATACHEM,3405
Tata Communications Limited,TATACOMM,3721
Tata Consumer Products Limited,TATACONSUM,3432
Tata Elxsi Limited,TATAELXSI,3411
Tata Investment Corporation Limited,TATAINVEST,1621
Tata Power Company Limited,TATAPOWER,3426
Tata Technologies Limited,TATATECH,20293
Tatva Chintan Pharma Chem Limited,TATVA,5162
TBO Tek Limited,TBOTEK,23740
Transport Corporation of India Limited,TCI,10580
TCI Express Limited,TCIEXP,19223
TCPL Packaging Limited,TCPLPACK,184
Tata Consultancy Services Limited,TCS,11536
TD Power Systems Limited,TDPOWERSYS,25178
TeamLease Services Limited,TEAMLEASE,12716
Tech Mahindra Limited,TECHM,13538
Techno Electric & Engineering Company Limited,TECHNOE,6445
Tega Industries Limited,TEGA,7105
Tejas Networks Limited,TEJASNET,21131
Thangamayil Jewellery Limited,THANGAMAYL,18118
Leela Palaces Hotels & Resorts Limited,THELEELA,757014
Thermax Limited,THERMAX,3475
Tilaknagar Industries Ltd.,TI,19196
Technocraft Industries (India) Limited,TIIL,14223
Tube Investments of India Limited,TIINDIA,312
Timken India Limited,TIMKEN,14198
Tinna Rubber and Infrastructure Limited,TINNARUBR,756020
Tips Music Limited,TIPSMUSIC,9117
Titagarh Rail Systems Limited,TITAGARH,15414
Titan Company Limited,TITAN,3506
Tamilnad Mercantile Bank Limited,TMB,10945
Tata Motors Limited,TMCV,759782
Torrent Pharmaceuticals Limited,TORNTPHARM,3518
Torrent Power Limited,TORNTPOWER,13786
Transrail Lighting Limited,TRANSRAILL,28714
Trent Limited,TRENT,1964
Triveni Turbine Limited,TRITURBINE,25584
TTK Prestige Limited,TTKPRESTIG,3546
TVS Electronics Limited,TVSELECT,11265
TVS Holdings Limited,TVSHLTD,29008
TVS Motor Company Limited,TVSMOTOR,8479
TVS Srichakra Limited,TVSSRICHAK,14245
United Breweries Limited,UBL,16713
Uflex Limited,UFLEX,1053
UltraTech Cement Limited,ULTRACEMCO,11532
Unimech Aerospace and Manufacturing Limited,UNIMECH,28960
Uniparts India Limited,UNIPARTS,13057
United Spirits Limited,UNITDSPR,10447
Universal Cables Limited,UNIVCABLES,3607
Universus Photo Imagings Limited,UNIVPHOTO,17661
Uno Minda Limited,UNOMINDA,14154
UPL Limited,UPL,11287
Usha Martin Limited,USHAMART,8840
UTI Asset Management Company Limited,UTIAMC,527
Vadilal Industries Limited,VADILALIND,24196
Varroc Engineering Limited,VARROC,3857
Varun Beverages Limited,VBL,18921
Vedanta Limited,VEDL,3063
Veedol Corporation Limited,VEEDOL,14019
Ventive Hospitality Limited,VENTIVE,28847
Venus Pipes and Tubes Limited,VENUSPIPES,9592
Venus Remedies Limited,VENUSREM,13859
Vesuvius India Limited,VESUVIUS,3676
Vardhman Holdings Limited,VHL,11892
Vijaya Diagnostic Centre Limited,VIJAYA,5585
Vimta Labs Limited,VIMTALABS,13101
Vinati Organics Limited,VINATIORGA,17364
Vindhya Telelinks Limited,VINDHYATEL,3694
Vishnu Chemicals Limited,VISHNU,6908
V-Mart Retail Limited,VMART,29284
Voltamp Transformers Limited,VOLTAMP,13577
Voltas Limited,VOLTAS,3718
V.S.T. Tillers Tractors Limited,VSTTILLERS,24292
Vardhman Textiles Limited,VTL,2073
Waaree Energies Limited,WAAREEENER,25907
Indosolar Limited,WAAREEINDO,19959
Waaree Renewable Technologies Limited,WAAREERTL,756038
VA Tech Wabag Limited,WABAG,20188
Wealth First Portfolio Managers Limited,WEALTH,1923
Welspun Corp Limited,WELCORP,11821
Welspun Enterprises Limited,WELENT,11626
Welspun Investments and Commercials Limited,WELINV,19800
Wendt (India) Limited,WENDT,4235
Westlife Foodworld Limited,WESTLIFE,11580
WeWork India Management Limited,WEWORK,759434
Wheels India Limited,WHEELS,3766
Whirlpool of India Limited,WHIRLPOOL,18011
Windlas Biotech Limited,WINDLAS,5366
Wockhardt Limited,WOCKPHARMA,7506
Wonderla Holidays Limited,WONDERLA,3002
West Coast Paper Mills Limited,WSTCSTPAPR,3799
Yasho Industries Limited,YASHO,18131
Yatharth Hospital & Trauma Care Services Limited,YATHARTH,17738
Yuken India Limited,YUKEN,5501
Zensar Technologies Limited,ZENSARTECH,1076
Zen Technologies Limited,ZENTEC,7508
ZF Commercial Vehicle Control Systems India Limited,ZFCVINDIA,16915
Zydus Lifesciences Limited,ZYDUSLIFE,7929
Zydus Wellness Limited,ZYDUSWELL,17635
3B BlackBio Dx Ltd,3BBLACKBIO,762518
A. K. Capital Services Limited,AKCAPIT,762538
Aayush Art & Bullion Ltd,AAYUSHBULL,540718
Acrow India Limited,ACROW,513149
ADC India Communications Limited,ADCINDIA,523411
Alfred Herbert (India) Limited,ALFREDHE,505216
Alufluoride Limited,ALUFLUOR,524634
Amal Ltd,AMAL,506597
AMIC Forging Ltd,AMIC,544037
Aryaman Financial Services Limited,ARYAMAN,530245
Asian Star Company Limited,ASTAR,762553
ASM Technologies Limited,ASMTEC,526433
Assam Entrade Ltd,ASSAMENT,542911
Automobile Corporation of Goa Limited,ACGL,505036
Aveer Foods Ltd,AVEER,543737
Avishkar Infra Realty Ltd,AIRLTD,#N/A
B-Right Realestate Ltd,BRRL,543543
Belding India Limited,BELDING,513307
Benares Hotels Limited,BENARAS,509438
Bengal & Assam Company Limited,BENGALASM,762578
Bhagwati Autocast Limited,BGWTATO,504646
Bharat Parenterals Ltd,BPLPHARMA,541096
Bimetal Bearings Limited,BIMETAL,762588
Binayak Tex Processors Limited,ZBINTXPP,523054
Bizotic Commercial Ltd,BIZOTIC,543926
Bombay Cycle & Motor Agency Limited,BOMBCYC,501430
Bombay Oxygen Investments Limited,BOMOXY-B1,509470
Brady & Morris Engineering Company Limited,BRADYM,505690
CFF Fluid Control Ltd,CFF,543920
CIAN Agro Industries & Infrastructure Limited,CIANAGRO,519477
City Pulse Multiventures Limited,CPML,542727
Concord Control Systems Ltd,CNCRD,543619
Cosmic CRF Ltd,COSMICCRF,543928
Cospower Engineering Ltd,COSPOWER,543172
Creative Castings Limited,CREATIVE,539527
Danlaw Technologies India Limited,DANLAW,532329
DHP India Limited,DHPIND,531306
Disa India Limited,DISAQ,762643
Dr. Agarwal's Eye Hospital Limited,DRAGARWQ,762648
ELANTAS Beck India Limited,ELANTAS,762653
Emergent Industrial Solutions Ltd,EMERGENT,506180
Empire Industries Limited,EMPIND,509525
Exhicon Events Media Solutions Ltd,EXHICON,543895
Eyantra Ventures Ltd,EY,512099
Fluidomat Limited,FLUIDOM,522017
Fredun Pharmaceuticals Limited,FREDUN,539730
Frontier Springs Limited,FRONTSP,762685
Hardcastle and Waud Manufacturing Company Limited,HARDCAS,509597
Hawkins Cookers Limited,HAWKINCOOK,4444
High Energy Batteries (India) Limited,HIGHENE,504176
Hindustan Hardy Limited,HINDHARD,505893
Hindusthan Insulators & Industries Limited,HIIL,539984
IB Infotech Enterprises Limited,IBINFO,519463
The Indian Link Chain Manufactures Limited,INLCM,504746
Indokem Limited,INDOKEM,504092
Industrial And Prudential Investment Company Limited,INDPRUD,762717
International Combustion (India) Limited,INTLCOMBQ,505737
Investment & Precision Castings Limited,INVPRECQ,762722
IST Limited,ISTLTD,508807
Jasch Gauging Technologies Limited,JGTL,544112
Jay Ushin Limited,JAYUSH,513252
Jenburkt Pharmaceuticals Limited,JENBURPH,524731
John Cockerill India Ltd,COCKERILL,762623
JSL Industries Limited,JSLINDL,504080
Jyoti Resins and Adhesives Limited,JYOTIRES,514448
Kaira Can Company Limited,KAIRA,504840
Kalyani Cast-Tech Limited,KALYANI,19653
KAMA Holdings Limited,KAMAHOLD,762732
Kaycee Industries Limited,KAYCEEI,504084
Keltech Energies Limited,KELENRG,506528
Kemp and Company Limited,KEMP,506530
Kesar India Limited,KESAR,543542
Khazanchi Jewellers Limited,KHAZANCHI,543953
Kilburn Engineering Limited,KLBRENG-B,762747
KPT Industries Limited,KPT,505299
Kwality Pharmaceuticals Limited,KPL,762757
Lakshmi Electrical Control Systems Limited,LAKSELEC,504258
Lakshmi Engineering and Warehousing Limited,LAKSHMIEW,505302
The Lakshmi Mills Company Limited,LAKSHMIMIL,502958
Lerthai Finance Limited,LERTHAI,502250
Lord's Mark Industries Limited,LORDSMARK,#N/A
Lotus Chocolate Company Limited,LOTUSCHO,523475
Mac Charles (India) Limited,MCCHRLS-B,762782
Macfos Limited,ROBU,543787
Magna Electro Castings Limited,MAGNAELQ,517449
Meghna Infracon Infrastructure Limited,MIIL,538668
Mercury Laboratories Limited,MERCURYLAB,538964
MKVentures Capital Limited,MKVENTURES,514238
Mobavenue AI Tech Limited,MOBAVENUE,539682
Naperol Investments Limited,NAPEROL,500298
National Standard (India) Limited,NATIONSTD,762807
Neelamalai Agro Industries Limited,NEAGI,762812
Nile Limited,NILE,762817
Nirav Commercials Limited,NIRAVCOM,512425
Nirlon Limited,NIRLON,2433
Nitin Castings Limited,NITINCAST,508875
Nitta Gelatin India Limited,NITTAGELA,762824
Omnitex Industries (India) Limited,OMNITEX,514324
One Global Service Provider Limited,ONEGLOBAL,514330
Onix Solar Energy Limited,ONIXSOLAR,513119
Paul Merchants Limited,PML,762834
Permanent Magnets Limited,PERMAGN,504132
P.H. Capital Limited,PHCAP,500143
PNGS Gargi Fashion Jewellery Ltd,GARGI,543709
Polson Limited,POLSON,507645
Polychem Limited,POLYCHEM,506605
Property Share Investment Trust,PSPLATINA,544295
Property Share Investment Trust,PSTITANIA,544462
Raja Bahadur International Limited,RAJABAH,503127
Rajapalayam Mills Limited,RAJPALAYAM,762859
Rajesh Power Services Limited,RAJESH,544291
Riddhi Siddhi Gluco Biols Limited,RIDDHI,524480
Rolcon Engineering Company Limited,ROLCOEN,505807
RRP Defense Limited,RRPDEFENSE,#N/A
Rrp Semiconductor Limited,RRP,#N/A
Sanco Trans Limited,SANCTRN,523116
Sar Auto Products Limited,SAPL,538992
Saraswati Commercial (India) Limited,ZSARACOM,762985
Sayaji Hotels (Indore) Limited,SHILINDORE,544080
Sayaji Hotels (Pune) Limited,SHPLPUNE,544090
Desi Farms India Limited,SERIND,507984
Shree Ganesh Remedies Limited,SGRL,540737
Shri Jagdamba Polymers Limited,SHRJAGP,512453
Sika Interplant Systems Limited,SIKA,762914
Simplex Mills Company Limited,SIMPLXMIL,#N/A
Simplex Papers Limited,SIMPLXPAP,533019
Sinnar Bidi Udyog Limited,SINNAR,509887
Sobhagya Mercantile Limited,SOBME,512014
Star Delta Transformers Limited,STARDELTA,539255
Stellant Securities (India) Limited,STELLANT,526071
Stovec Industries Limited,STOVACQ,504959
Sunita Tools Limited,SUNITATOOL,544001
Sunshield Chemicals Limited,SUNSHIEL,530845
Super Sales India Limited,SUPER,512527
TAAL Tech Limited,TAALTECH,762929
Talbros Engineering Limited,TALBROSENG,538987
Tanfac Industries Limited,TANFACIND,506854
TCI Industries Limited,TCIIND,532262
TechNVision Ventures Limited,TECHNVISN,762939
Thacker and Company Limited,THACKER,762944
The Ravalgaon Sugar Farm Limited,RAVALSUGAR,507300
The Yamuna Syndicate Limited,YSL,540980
Transpek Industry Limited,TRANSPEK,3531
Triton Valves Limited,TRITONV,505978
Tulive Developers Limited,TULIVE,505285
U.P. Hotels Limited,UPHOT,509960
Uni Abex Alloy Products Limited,UNIABEXAL,504605
Vadilal Enterprises Limited,VADILENT,519152
Valiant Communications Limited,VALIANT,526775
Veljan Denison Limited,VELJAN,762966
The Victoria Mills Limited,VICTMILL,503349
Vijay Solvex Limited,VIJSOLX,531069
Virat Industries Limited,VIRAT,530521
Virya Resources Limited,VIRYA,512479
Voith Paper Fabrics India Limited,VOITHPAPR,522122
W. H. Brady & Company Limited,WHBRADY,501391
Welcast Steels Limited,ZWELCAST,504988
Yash Highvoltage Ltd.,YASHHV,544310
ZF Steering Gear (India) Limited,ZFSTEERING,4229
